UTC Timestamp,EEG Signal A3 (uV),EEG Signal A4 (uV)
2025-01-20 10:05:30.211187,422,0
2025-01-20 10:05:30.221187,264,0
2025-01-20 10:05:30.231187,439,1
2025-01-20 10:05:30.241187,328,0
2025-01-20 10:05:30.251187,406,0
2025-01-20 10:05:30.261187,326,0
2025-01-20 10:05:30.271187,438,1
2025-01-20 10:05:30.281187,340,0
2025-01-20 10:05:30.291187,468,1
2025-01-20 10:05:30.301187,332,0
2025-01-20 10:05:30.311187,440,1
2025-01-20 10:05:30.321187,357,0
2025-01-20 10:05:30.331187,509,1
2025-01-20 10:05:30.341187,414,0
2025-01-20 10:05:30.351187,606,2
2025-01-20 10:05:30.361187,414,0
2025-01-20 10:05:30.371187,427,0
2025-01-20 10:05:30.381187,339,0
2025-01-20 10:05:30.391187,417,0
2025-01-20 10:05:30.401187,344,0
2025-01-20 10:05:30.411187,553,1
2025-01-20 10:05:30.421187,376,0
2025-01-20 10:05:30.431187,521,1
2025-01-20 10:05:30.441187,422,0
2025-01-20 10:05:30.451187,664,2
2025-01-20 10:05:30.461187,414,0
2025-01-20 10:05:30.471187,474,1
2025-01-20 10:05:30.481187,346,0
2025-01-20 10:05:30.491187,536,1
2025-01-20 10:05:30.501187,454,1
2025-01-20 10:05:30.511187,560,1
2025-01-20 10:05:30.521187,416,0
2025-01-20 10:05:30.531187,456,1
2025-01-20 10:05:30.541187,241,0
2025-01-20 10:05:30.551187,319,0
2025-01-20 10:05:30.561187,247,0
2025-01-20 10:05:30.571187,383,0
2025-01-20 10:05:30.581187,259,0
2025-01-20 10:05:30.591187,451,0
2025-01-20 10:05:30.601187,344,0
2025-01-20 10:05:30.611187,551,1
2025-01-20 10:05:30.621187,392,0
2025-01-20 10:05:30.631187,509,1
2025-01-20 10:05:30.641187,321,0
2025-01-20 10:05:30.651187,448,1
2025-01-20 10:05:30.661187,267,0
2025-01-20 10:05:30.671187,440,0
2025-01-20 10:05:30.681187,393,0
2025-01-20 10:05:30.691187,569,1
2025-01-20 10:05:30.701187,451,1
2025-01-20 10:05:30.711187,477,1
2025-01-20 10:05:30.721187,355,0
2025-01-20 10:05:30.731187,527,1
2025-01-20 10:05:30.741187,412,0
2025-01-20 10:05:30.751187,476,1
2025-01-20 10:05:30.761187,383,0
2025-01-20 10:05:30.771187,504,1
2025-01-20 10:05:30.781187,373,0
2025-01-20 10:05:30.791187,522,1
